index,Date,close,high,low,open,volumefrom,volumeto,cRSI,MACD,MACD_Signal,candlestick_pattern,candlestick_match_count
100,2019-04-23,5539.1,5626.83,5371.31,5394.67,66448.85,368556751.66,81.46,0.0,0.0,,
101,2019-04-24,5454.58,5633.0,5390.98,5539.1,61651.16,339093001.24,32.81,-6.742336182335748,-1.3484672364671497,,
102,2019-04-25,5162.67,5521.61,5031.69,5454.58,70755.72,374798664.87,13.75,-35.23422537154693,-8.125618863483105,,
103,2019-04-26,5234.09,5361.94,5104.18,5162.67,70191.21,366773360.18,61.64,-51.458079005583386,-16.79211089190316,,
104,2019-04-27,5229.48,5282.97,5192.45,5234.09,21692.98,113430273.96,38.46,-63.95040787549169,-26.22377028862087,,
105,2019-04-28,5272.45,5313.7,5218.42,5233.47,25294.87,133564683.52,61.63,-69.58125917954567,-34.89526806680583,,
106,2019-04-29,5237.96,5299.51,5162.81,5272.45,31947.44,167206787.27,33.1,-75.95128502540501,-43.10647145852567,,
107,2019-04-30,5350.64,5372.23,5224.64,5237.96,32567.46,172540196.26,74.68,-71.08778635734052,-48.70273443828864,,
108,2019-05-01,5389.54,5417.17,5346.7,5350.64,27410.57,147345369.73,72.41,-63.364101801366814,-51.63500791090428,,
109,2019-05-02,5500.72,5531.15,5387.29,5389.54,35089.37,192256639.91,86.82,-47.72162413726983,-50.852331156177385,,
110,2019-05-03,5753.38,5891.9,5484.78,5500.72,75434.86,432335283.61,94.82,-14.767071846170438,-43.635279294176,,
111,2019-05-04,5840.08,5901.36,5596.15,5753.38,45628.34,263390273.68,90.39,18.136546864477168,-31.28091406244537,,
112,2019-05-05,5794.14,5849.5,5709.74,5840.08,25481.48,147662500.76,38.73,40.04432167350933,-17.015866915254428,,
113,2019-05-06,5748.17,5823.67,5644.15,5794.14,34979.71,200316185.51,32.46,53.08506465296705,-2.9956806016101325,,
114,2019-05-07,5819.57,6031.54,5748.17,5748.17,59556.89,353043890.95,69.92,68.392939469888,11.282043412689495,,
115,2019-05-08,5998.71,6032.25,5753.08,5819.57,40967.62,241917027.36,84.75,93.89725233818808,27.80508519778921,,
116,2019-05-09,6171.96,6194.91,5988.65,5998.71,51005.27,310336580.16,89.31,126.62972250750317,47.57001265973201,,
117,2019-05-10,6358.29,6444.57,6133.21,6171.96,68160.13,430403405.14,92.64,165.69567808166903,71.19514574411942,,
118,2019-05-11,7191.36,7394.94,6357.02,6358.29,135248.42,933141315.95,97.45,260.8703648924047,109.13018957377648,,
119,2019-05-12,6977.63,7541.61,6793.21,7191.36,142892.25,1023203366.46,31.94,315.4148589476281,150.38712344854682,,
120,2019-05-13,7806.36,8127.75,6873.42,6977.63,149082.57,1140302646.6,77.8,420.6641935043108,204.44253745969962,,
121,2019-05-14,7980.13,8297.02,7631.34,7806.36,122383.06,976094121.29,77.79,512.1925987153372,265.9925497108271,,
122,2019-05-15,8183.83,8263.29,7849.92,7980.13,86162.62,694202804.31,83.68,594.315507655996,331.65714129986094,,
123,2019-05-16,7874.11,8352.25,7679.05,8183.83,95341.68,762104107.69,28.91,627.1769832345062,390.76110968679,,
124,2019-05-17,7371.96,7930.98,6668.67,7874.11,141482.93,1023961962.83,17.23,605.7182876537436,433.75254528018075,,
