cryptocompare_symbol,cryptocompare_id,coingecko_id,coingecko_symbol,coingecko_name
ETH,7605,ethereum,eth,Ethereum
BTC,1182,bitcoin,btc,Bitcoin
XRP,5031,ripple,xrp,XRP
VTC,5018,vertcoin,vtc,Vertcoin
POWR,339617,power-ledger,powr,Power Ledger
OMG,187440,omisego,omg,OMG Network
ADA,321992,cardano,ada,Cardano
LTC,3808,litecoin,ltc,Litecoin
DATA,369151,streamr,data,Streamr DATAcoin
NEO,27368,neo,neo,NEO
VET,236131,vechain,vet,VeChain
NANO,172091,nano,nano,Nano
BAT,107672,basic-attention-token,bat,Basic Attention Token
ENJ,283116,enjincoin,enj,Enjin Coin
NEXO,877073,nexo,nexo,NEXO
LINK,309621,chainlink,link,Chainlink
DOT,935731,polkadot,dot,Polkadot
UNI,936630,uniswap,uni,Uniswap
CRO,929418,crypto-com-chain,cro,Crypto.com Coin
INJ,937043,injective-protocol,inj,Injective Protocol
SNX,816635,havven,snx,Synthetix Network Token
ROSE,937509,oasis-network,rose,Oasis Network
AAVE,936952,aave,aave,Aave1
MATIC,930246,matic-network,matic,Polygon
BNB,204788,binancecoin,bnb,Binance Coin
MKR,41192,maker,mkr,Maker
GRT,938098,the-graph,grt,The Graph
AVA,248300,concierge-io,ava,Travala.com
TRB,933019,tellor,trb,Tellor
RAMP,937397,ramp,ramp,RAMP
AVAX,935805,avalanche-2,AVAX,Avalanche
DOGE,4432,dogecoin,doge,Dogecoin
SOL,851021.0,solana,sol,Solana
LUNA,931668.0,terra-luna,luna,Terra
SHIB,940776.0,shiba-inu,shib,Shiba Inu
ALGO,930992.0,algorand,algo,Algorand
NEAR,937105.0,near,near,Near
ATOM,199107.0,cosmos,atom,Cosmos
BCH,202330.0,bitcoin-cash,bch,Bitcoin Cash
TRX,310829.0,tron,trx,TRON
XLM,4614.0,stellar,xlm,Stellar
FTM,928158.0,fantom,ftm,Fantom
MANA,199148.0,decentraland,mana,Decentraland
AXS,937569.0,axie-infinity,axs,Axie Infinity
FTT,931676.0,ftx-token,ftt,FTX Token
HBAR,932121.0,hedera-hashgraph,hbar,Hedera
ICP,941276.0,internet-computer,icp,Internet Computer
SAND,936179.0,the-sandbox,sand,The Sandbox
FIL,213663.0,filecoin,fil,Filecoin
EGLD,936373.0,elrond-erd-2,egld,Elrond
THETA,714811.0,theta-token,theta,Theta Network
ETC,5324.0,ethereum-classic,etc,Ethereum Classic
XTZ,166390.0,tezos,xtz,Tezos
HNT,935965.0,helium,hnt,Helium
XMR,5038.0,monero,xmr,Monero
MIOTA,127356.0,iota,miota,IOTA
LEO,930571.0,leo,leo,Leo
KLAY,932843.0,klay-token,klay,Klaytn
ONE,930623.0,harmony,one,Harmony
ONE,930623.0,one,one,One
EOS,166503.0,eos,eos,EOS
GALA,936750.0,gala,gala,Gala
CAKE,936880.0,pancakeswap-token,cake,PancakeSwap
STX,932603.0,blockstack,stx,Stacks
FLOW,936778.0,flow,flow,Flow
CRV,936137.0,curve-dao-token,crv,Curve DAO Token
LRC,318169.0,loopring,lrc,Loopring
BTT,928723.0,bittorrent-2,btt,BitTorrent
KSM,932932.0,kusama,ksm,Kusama
RUNE,932760.0,thorchain,rune,THORChain
BSV,926591.0,bitcoin-cash-sv,bsv,Bitcoin SV
XEC,206539.0,ecash,xec,eCash
QNT,928790.0,quant-network,qnt,Quant
AMP,936528.0,amp-token,amp,Amp
ZEC,24854.0,zcash,zec,Zcash
AR,935292.0,arweave,ar,Arweave
KDA,933615.0,kadena,kda,Kadena
CELO,935634.0,celo,celo,Celo
